hotel_id,hotel_source,hotel_name,room_name,bed_type,bed_category,room_category,available_rooms,base_price,tax_price,total_price,room_facilities,checkin,checkout,hotel_url,link
AGODA_1,agoda,Econo Lodge Mount Laurel - Philadelphia East,"1 King Bed, Nonsmoking",king bed,King,Normal,5.0,6465.0,0.0,6465.0,"['Wi-Fi [free]', 'Room size: 26 m²/280 ft²', '1 king bed', 'Private bathroom', 'Air conditioning', 'Refrigerator', 'Hair dryer', 'Shower']",2025-11-04,2025-11-05,https://www.agoda.com/econo-lodge_2/hotel/mount-laurel-nj-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=4&searchrequestid=054e8861-9dbe-4d30-a873-69fffa1fe3d6&ds=CH3TEme3dqOaFa9f,
AGODA_1,agoda,Econo Lodge Mount Laurel - Philadelphia East,"2 Queen Beds, Nonsmoking",queen beds,Queen,Normal,5.0,7122.0,0.0,7122.0,"['Wi-Fi [free]', 'Room size: 26 m²/280 ft²', '2 queen beds', 'Exterior corridor', 'Private bathroom', 'Air conditioning', 'Refrigerator', 'Hair dryer', 'Shower']",2025-11-04,2025-11-05,https://www.agoda.com/econo-lodge_2/hotel/mount-laurel-nj-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=4&searchrequestid=054e8861-9dbe-4d30-a873-69fffa1fe3d6&ds=CH3TEme3dqOaFa9f,
AGODA_2,agoda,Quality Inn New London,"2 Queen Beds, Nonsmoking",queen beds,Queen,Normal,5.0,8950.0,0.0,8950.0,"['Wi-Fi [free]', 'Room size: 42 m²/452 ft²', 'Street view', '2 queen beds', 'Bathtub', 'Window', 'Sleep comfort items', 'Ground floor available', 'Non-smoking', 'Shared bathroom']",2025-11-01,2025-11-02,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f,
AGODA_2,agoda,Quality Inn New London,"1 King Bed, Nonsmoking",king bed,King,Normal,5.0,8950.0,0.0,8950.0,"['Wi-Fi [free]', 'Room size: 28 m²/301 ft²', 'Street view', '1 king bed', 'Bathtub', 'Window', 'Sleep comfort items', 'Non-smoking', 'Shared bathroom', 'Closet']",2025-11-01,2025-11-02,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f,
AGODA_2,agoda,Quality Inn New London,"2 Queen Beds, Nonsmoking",queen beds,Queen,Normal,5.0,8950.0,0.0,8950.0,"['Wi-Fi [free]', 'Room size: 28 m²/301 ft²', 'Street view', '2 queen beds', 'Bathtub', 'Window', 'Sleep comfort items', 'Ground floor available', 'Non-smoking', 'Shared bathroom']",2025-11-01,2025-11-02,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f,
AGODA_2,agoda,Quality Inn New London,"2 Queen Beds, Nonsmoking",queen beds,Queen,Normal,5.0,9204.0,0.0,9204.0,"['Wi-Fi [free]', 'Room size: 42 m²/452 ft²', 'Street view', '2 queen beds', 'Bathtub', 'Window', 'Sleep comfort items', 'Ground floor available', 'Non-smoking', 'Shared bathroom']",2025-11-01,2025-11-02,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f,
AGODA_2,agoda,Quality Inn New London,"1 King Bed, Nonsmoking",king bed,King,Normal,0.0,11377.0,0.0,11377.0,"['Wi-Fi [free]', 'Room size: 28 m²/301 ft²', 'Street view', '1 king bed', 'Bathtub', 'Window', 'Sleep comfort items', 'Ground floor available', 'Non-smoking', 'Shared bathroom']",2025-11-01,2025-11-02,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f,
AGODA_2,agoda,Quality Inn New London,"1 Queen Bed, Suite, Nonsmoking",queen bed,Queen,Suite,5.0,12083.0,0.0,12083.0,"['Wi-Fi [free]', 'Room size: 42 m²/452 ft²', 'Street view', '1 queen bed', 'Whirlpool bathtub', 'Window', 'Sleep comfort items', 'Non-smoking', 'Shared bathroom', 'Closet']",2025-11-01,2025-11-02,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f,
AGODA_2,agoda,Quality Inn New London,"1 King Bed, Suite, Nonsmoking",king bedS,King,Suite,0.0,17110.0,0.0,17110.0,"['Wi-Fi [free]', 'Room size: 42 m²/452 ft²', 'Street view', '1 king bed', 'Separate shower/bathtub', 'Window', 'Blackout curtains', 'Top floor available', 'Non-smoking', 'Shared bathroom']",2025-11-01,2025-11-02,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f,
AGODA_2,agoda,Quality Inn New London,"1 King Bed, Nonsmoking",king bed,King,Normal,5.0,5674.0,0.0,5674.0,"['Wi-Fi [free]', 'Room size: 28 m²/301 ft²', 'Street view', '1 king bed', 'Bathtub', 'Window', 'Sleep comfort items', 'Ground floor available', 'Non-smoking', 'Shared bathroom']",2025-11-02,2025-11-03,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f,
AGODA_2,agoda,Quality Inn New London,"2 Queen Beds, Nonsmoking",queen beds,Queen,Normal,5.0,6000.0,0.0,6000.0,"['Wi-Fi [free]', 'Room size: 42 m²/452 ft²', 'Street view', '2 queen beds', 'Bathtub', 'Window', 'Sleep comfort items', 'Ground floor available', 'Non-smoking', 'Shared bathroom']",2025-11-02,2025-11-03,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f,
AGODA_2,agoda,Quality Inn New London,"1 King Bed, Nonsmoking",king bed,King,Normal,5.0,6000.0,0.0,6000.0,"['Wi-Fi [free]', 'Room size: 28 m²/301 ft²', 'Street view', '1 king bed', 'Bathtub', 'Window', 'Sleep comfort items', 'Non-smoking', 'Shared bathroom', 'Closet']",2025-11-02,2025-11-03,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f,
AGODA_2,agoda,Quality Inn New London,"2 Queen Beds, Nonsmoking",queen beds,Queen,Normal,5.0,6000.0,0.0,6000.0,"['Wi-Fi [free]', 'Room size: 28 m²/301 ft²', 'Street view', '2 queen beds', 'Bathtub', 'Window', 'Sleep comfort items', 'Ground floor available', 'Non-smoking', 'Shared bathroom']",2025-11-02,2025-11-03,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f,
